payload_id,site,endpoint,side,best_fit_version,rule,severity,path,section
p000102,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000102,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000102,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000102,mthai.com,adx.adform.net,request,2.6-202606,openrtb.field.undefined,error,imp[2].video.context,3.2.7
p000102,mthai.com,adx.adform.net,request,2.6-202606,openrtb.field.deprecated,warning,imp[2].video.placement,Section 3.2.7
p000102,mthai.com,adx.adform.net,request,2.6-202606,openrtb.field.undefined,error,imp[2].video.playerSize,3.2.7
p000103,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000103,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000104,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000105,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000106,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000107,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000108,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000108,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000108,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000108,mthai.com,adx.adform.net,request,2.6-202606,openrtb.field.undefined,error,imp[2].video.context,3.2.7
p000108,mthai.com,adx.adform.net,request,2.6-202606,openrtb.field.deprecated,warning,imp[2].video.placement,Section 3.2.7
p000108,mthai.com,adx.adform.net,request,2.6-202606,openrtb.field.undefined,error,imp[2].video.playerSize,3.2.7
p000109,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000109,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000109,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000109,mthai.com,adx.adform.net,request,2.6-202606,openrtb.field.undefined,error,imp[2].video.context,3.2.7
